Product Description,Product Category
"eretailer Cotton 4 Seater Leave Design Centre Table Cover (Brown, 40x60 inches) Understands Your Lifestyle and Here, We Enhance The Beauty and Glamour Of Your Drawing and Living Room We Have Housed Wonderful made Centre Table Cover That Are Crafted Out Using Polyester Cotton & Other Materials Which Makes Them Beautiful and Durable. The Color Combination & Design Of These Table Cover Are Praiseworthy and Looks Very Rich, Elegant & Attractive, Which Enhances & Gives A Gracefull Ambience To Your Drawing and Living Room Area These Table Cover Are Resistant To Rough Handling and Are Easy To Wipe & Clean, It Also Protects Your Center Table Surface. No More Stains on Your Center Table.",Home Appliances
"ayushicreationa® Women High Waist skin Stockings Super Fine Fiber Excellent Stretch Sheer Tights Long Comfort Super Soft Pantyhose Skin/Beigh (rapidwomen-stocking-1, Black and Beige, Free Size) Classy And In Fashion, This Pair Of Panty Hose Stockings From ayushicreationa Is A Smart Essential. The Stretchy Fabric Is Targeted To Compliment Your Shape. This Stocking Has A Great Strength And Elasticity Of Nylon 66 Multi Yarn. It Gives Perfect Fit And Wearability. This Panty Hose Is Specifically Designed For Providing Firmer Smooth Round Shape To Thigh & Legs. Wearing Instructions - Roll Panty Hose Down To Toe And Insert Foot. Roll Up Each Leg Separately And Pull On Gently To The Knee Using As Much Fabric As Required. Now Stand Up And Continue Rolling From Knee To Top Of Leg, Then Gently Roll On Panty To Waist. Material - 100 % Skin Friendly, 100 % Nylon. Style This With A Short Dress And Chunky Heels.Please Note That Sheerness & Color Will Vary Depending Upon The Natural Skin Tone Of The User.",Clothing
Nova Photo Album 108 Photos 4X6 Inch Album Color Name:Multicolor-12   The product is Photo Album 108 Photos Album. Size of the album is 4X6 Inch.,Office Supplies
"MADHULI Steel Super Strong Chain Door Guard/Security Latch for Safe and Secure Home and Office(Satin Matt, YLatchM) This super strong latch is made from steel to provide maximum security for a safer home and office. Comes in a Satin Matt finish .",Office Supplies
"Mpow 071 USB Headset 3.5 mm Aux Computer Headphone with Mic, Noise Cancelling Wired Earphones for Conference VoIP Skype Lync Webex (Black)",Electronics
Guide To Technical Analysis & Candlesticks Stock Market Basics   Introduction to Stock Market Analysis   Basics of Technical Analysis   Introduction to Candlestick   Introduction to Chart Patterns   Introduction to Technical Indicators   Technical Analysis Steps   Stop Loss Theory   Stock Selection Strategies   Case Studies of Technical Analysis   Source of Information,Unknown
"The Weapon Wizards: How Israel Became a High-tech Military Superpower Review ""An enlightening look into one of the less-familiar corners of the modern military world."" ---Kirkus 				    	 					 About the Author Yaakov Katz is the editor-in-chief of the Jerusalem Post and coauthor of Israel vs. Iran: The Shadow War.",Unknown
"Turning Points : A Journey Through Challanges: A Journey Through Challenges About the Author A.P.J. Abdul Kalam was the President of India from 2002 to 2007. He is a recipient of the nation's highest honour, the Bharat Ratna, and author of several books",Books
"CABLESETC Pure Oxygen Free Copper Coaxial Dolby Digital SPDIF RCA Male Audio Cable 1.5m About the Brand: CABLESETC is a well-known name for high quality cables in the online world since a decade. This is our new ""PRO"" series cable with the best quality and stability which has been designed with our years of experience with Audio Video Cables. We are offering a limited lifetime warranty on all cables in this series so that the customers can confidentally buy them. We assure you that you will surely like the product once you try it. In case of any problem, just send it back and we shall immedaitely replace it. What is Digital Coaxial ? An S/PDIF coaxial cable can carry linear PCM or multi-channel Dolby AC-3/DTS digital content from a source device, such as CD or DVD player to an AV receiver or Surround Sound Preamp/Processor. Digital Coaxial Audio Connections use RCA-style connection plugs. This ""CABLESETC"" digital audio cable features proper characteristic impedance, fast frequency-independent signal propagation and effective shielding against EMI/RFI. This interconnect uses smooth, flawless, large cross-section tinned OFC as the signal conductor. A foamed PE insulation exhibits extremely low dielectric constant. It provides two layers of shielding: one OFC copper braid and one overlapped Mylar foil. Precision design and manufacturing ensures the characteristic impedance of the cable assembly remains 75 Ohms, +/- 5 Ohms. Precise soldering techniques using expensive solder create increased electrical integrity, maximum signal transfer, long term reliability, and guarantee performance under the most demanding conditions. The ultra-flexible PVC jacket enables easy installation, and resists binding and kinking which can cause errors in the signal path. This high performance S/PDIF digital cable is also ideal as a premium, extended length composite video cable for especially demanding video applications! """,Electronics
"A Million Thoughts: Learn All About Meditation from The Himalayan Mystic About the Author Om Swami is a mystic living in the Himalayan foothills. He has a bachelor’s degree in business and an MBA from Sydney, Australia. Prior to his renunciation of this world, he founded and ran a multi-million dollar software company successfully. He is the bestselling author of Kundalini: An Untold Story, A Fistful of Love and If Truth Be Told: A Monk’s Memoir.",Books
Gift of Confidence: Miracles Can Happen Easily About the Author Rohit Narang is an accomplished storyteller who enjoys inspiring others to achieve their dreams. He has delivered thousands of lectures on various subjects. His audiences love him. He is a practicing chartered accountant in the city of Golden Temple.,Books
"Asian Hobby Crafts Satin Ribbon (10 Pieces) Use these unique shaped moulds for making your very own candles. This is a premium quality silicone mould with high durability and intricate shapes. Just pour molten chocolate inside the mould and wait for it to settle, your very own mini chocolates are ready in no time. Various shapes and sizes are available in our catalogue. Make sure to look through all designs before making your choice. Click on 'Asian Hobby Crafts' under the title to explore more craft related items.",Office Supplies
"ZEYO Women's Cotton Navy Blue, Pink & Peach Feeding Night Suit,Sail Boat Print Nursing Night Dress",Clothing
"Kitchen Delli 2 Piece Bar Set (Large) - Regular Cocktail Shaker And Peg Measure ""Cocktail shaker A very Innovative Product and a great invention, now make drinks the way you like without breaking into a sweat. It allows you to shake and strain your favourite Cocktail/Mocktails. Impress one and all with this exquisitely designed product that stands out from the rest, the sturdy steel construction of this cocktail shaker has a contoured lid lock design that prevents spillage during mixing and this uniquely shaped cocktail shaker would make a great addition to your range of bar accessories. It is made up of 100% Stainless Steel which makes it highly durable and resistance to corrosion. This product comes with a Lifetime Guarantee on manufacturing defect. This product is available in 500 ml, 750 ml",Home Appliances
TASLAR Arc Edge Transparent Tempered Glass for Microsoft Surface Pro 4 (Newest Version 2018),Electronics
"Zoook Rocker Mean Machine Mini M3 Bluetooth Speakers (Black) Zoook has changed the game again with the new Rocker Mean Machine Mini. Rocker M3 brings together style, creativity and function. This portable sound cylinder is perfect for those summertime beach days. With the built-in Bluetooth capability, aux-in, USB and micro-SD inputs, you can enjoy music anyway want. Don't worry about a power outlet. The built-in rechargeable lithium battery allows you to listen to music for hours. Zoook Rocker Mean Machine Mini M3 speaker with Bluetooth connectivity that also has the ability to connect to any external device via a 3.5mm aux input jack, TF card, USB flash and a side panel for button control center. This boom box speaker is portable and wireless and lightweight to carry, with a wireless Hi-Fi active stereo system and a full-range stereo for sound production. With this Bluetooth surround speaker, you can connect any of your preferred electronic devices via Bluetooth - an Android device or an Apple product, laptop or PC. With a built-in rechargeable battery, you can play hours of music on this surround speaker with Bluetooth connectivity, USB flash drive reader and is compatible with MP3 digital audio file. This portable boom box Bluetooth speaker is a high-powered tube boom box with an active stereo speaker system, digital sound amplifier and a full range stereo for perfect sound. It's predecessor has already gained a lot of appreciation (Zoook Rocker Mean Machine M2). Built-in huge 1500mAh rechargeable Lithium battery. 8-watt speakers. SPECIFICATIONS: Bluetooth Version: v4.1 Wattage: 8W Speaker Output: 8W (1 Driver + 1 woofer) Connectivity: Bluetooth, Aux,USB Flash, TF Charging: DC 5V Battery Capacity: 1500mAh Music Playback Time: Upto 4hrs* Charging Time: Upto 3hrs* Frequency Response: 80hz - 20khz Sensitivity: ¬80dB Operating Distance: 10m Dimensions: 170*85*82mm Product Weight: 445g",Electronics
"Borosil Smartmix BHM30PBB11 300-Watt Hand Mixer (Silver) You demand the best of yourself, so its right you enjoy the best from us. Famous for high quality and performance, we enable our customers to do more and be more by using our beautifully designed, simple, smart and practical products like the Smartmix Hand Mixer. Now you can prepare your favourite food with ease. It helps to balance your busy, modern life, making whatever you're doing healthier, simpler and smarter.",Home Appliances
"Newbuy 'Just for You' Wood Pasted Photo Album (22 cm x 16 cm x 4 cm, Brown) ●Style:Just For You ●Material: paper,  inside pages High quality black card ●size: 26cmx16cm Inside  ●pages number: 30 pages (Each page can be double-sided use) ●Capacity: totally depends on your photo size, 5 inch, 6 inch 2 / surface, 7 inch 1 / surface, 8 ""1 / surface, other abnormal size requires that you own Album use: love log, travel log, baby growth record, family journal, works in this episode, exclusive course, learning materials, and newspapers and magazines in this collection, creative gift.  ●Result Pages:30 pages",Office Supplies
"Yes: My Improbable Journey to the Main Event of WrestleMania About the Author DANIEL BRYAN is a WWE Superstar, WWE World Heavyweight Champion, four-time world champion, 2013 Slammy Award Superstar of the Year, and one-time World Heavyweight Champion. Bryan is well-known for his signature offensive style, a mix of Japanese and American moves including the YES! Lock named after his popular WWE YES Movement. Bryan is married to Brie Bella of The Total Divas fame. They live in Phoenix, AZ.",Books
Hind Home Unisex Cotton Full Hand Gloves Beige_Free Size (Pack Of 2) Summer gloves for women by hind home. These gloves are full hand gloves and will thereby protect your skin from getting dark in the hot weather. These gloves come with elastic at the end for proper grip.,Clothing
"Lattoo Handmade Green Marble and Brass Tooth Paste/Brush Holder Towel Tray Soap Dispensers Set for Home Decor | Bathroom Set of 4 Color Name:Green   1) This Bath Set consists of a Soap Dispenser, Tooth Paste/Brush Holder, Towel Tray & Soap dish, all hand crafted. 2) Soap dispenser has Chrome finished Plastic dispensing unit. 3) Every piece may have slightly different color and natural lines because of the natural aspects of stone. 4) This product is 100% Made in India and handmade by skilled Artisans. We support Indian Artisans and ""Make In India"".",Home Appliances
"Micromax 54.61 cm (21.5) MM215FH76 Monitor Upgrade your computing experience with the Micromax 2156 MM215FH76 Monitor. This efficient monitor has a massive screen that provides you wide viewing angles. It comes equipped with a 1920 x 1080 HD resolution that delivers sharp picture quality and excellent visuals. The anti glare display provides your eyes the optimal comfort for viewing. Featuring a stand, the monitor can be tilted in any direction to suit your preferences.",Electronics
"Shivira 18 Keys USB Numeric Mini Keypad/Keyboard for PC Laptop Phones Brand: SHIVIRA Product Type: USB 18 Keys Numeric Number Keyboard Color: Black Compatible: Windows 95/98/NT/2000/VISTA/XP/MAC Description: Anti-electrostatic. Defend the electromagnetism interference. Low noise, comfortable, compact size, portable Apply Multilingual  Compatible for Headphones, Android devices ,PCs, Laptops, MP3 Players, cars, TV, DVD, TV box. All with 3.5mm audio aux stereo jack. Human body engineering design  High quality thin film key switch  Plug & Play No driver or software required  Contains: 1 Pack Black mini keyboard",Electronics
"Orient Electric Apex-FX 1200mm Ceiling Fan (Brown) Color Name:Brown   Highly reliable and durable, Orient electric Apex air ceiling fan is a must-have for your home. Available in 2 different colors, this fan will seamlessly blend with the décor of your room. Equipped with a powerful copper motor, Orient electric Apex air delivers high air delivery and air thrust to offer the best in comfort and coolness. The powder coating provides longer life to the fan.",Home Appliances
"Leotude Cotton Casual Sweatshirt for Men Leotude sweatshirts are here to make your style rule in the minds of people, Ultimate street fashion meticulously crafted with 100% Cotton fabric, bio washed for extra softness. The cosy style will be perfect addition to your fashion apparel on Amazon. Pair it with tracks, Chinos or Jeans for an urban looks, Grab the Leotude collection for your stylish winter collection for your wardrobe.",Clothing
"Pivalo High Power Universal Car Projector LED Fog Light Lens Kit with White COB Halo Angel Eye Rings DRL Driving Bulbs for Cars, 10W - Pack of 2 Size:3.5 Inches   Description: Pivalo LED Universal Car Projector LED Fog Light with Angel eyes is designed for use as car fog lamp, off-road vehicle spot light and daytime running light. It features advanced LED COB chips technology and PMMA lens to high intensity light to improve visibility over the road to ensure driver's safety and reduce traffic accidents. It is designed as a low power consumption anti-shock light with a generation of energy saving parameters to ensure longer life-span, small luminescence decline, good antistatic ability and colour consistency. Installing LED projector fog lights will help to gain large viewing angle, light uniformity, high brightness and good heat dissipation ability. Moreover, its bright LED angel eyes also make them a perfect pair of Daytime Running Light(DRL) as well. Technical Specifications:  Operating Voltage: 9-30V Rate Current: 0.75A Output Power: 10W Luminous flux: 3200LM Light Source: Super LED COB Chips Colour Temperature: White 6000K Angel Eyes: White Housing Material: Made of Die-cast black durable aluminum housing Lens Material: Scratchproof PMMA Lens Surface Colour: Black  Life-span: more than 50,000 hrs Working Temperature: -40-80 Centigrade",Unknown
"Flycam Nano Handheld Camera Stabilizer with Quick Release Plate for DSLR Mini/DV Cameras (Black) Expand your shot selection with complete comfort and functionality for extended productions and long continuous shots. Make hypnotizing smooth pictures, whether you are walking or running on even or uneven terrain, going up or down stairs, shooting from moving vehicles without any camera instability or shake. Incredibly amazing gear enables you to control your camera more precisely and comfortably. The Camera Base plate has both 1/4-inch- 20 mounting slots (holes) to hold most camera bases. The control knobs allow quick, precise adjustment of the top stage with back and forth, and side-to-side movement. Wheelbarrow bearing for smooth rotational movement. Grip swivels left and right from the bolt for better functionality. The easy vertical movement angle bracket enables grip to move up and down. Comfortable handle moves up and down or side-to-side according to your need. In order to adjust the camera's vertical balance, you can adjust the length of the telescoping central post. When balanced properly the camera floats, ready for you to move into action. The quick release plate allows quick mounting and dismounting of the camera, features 0.25-inch standard screws.",Electronics
"Indus Route by Pantaloons Boy's Polyester Blouson Waistcoat Beige in color, this sleeveless waist coat is crafted from polyester in a regular-fit. It features a band collar and self-design.",Clothing
"TP-Link TL-UH700 7-Port USB Hub (Black) Style name:UH700   UH700 can deliver up to 5V/1.5A output that charges 50 percent faster and saves up to 30 percent on charging time. Fully charging a Galaxy S6 edge takes just 100 minutes with the UH700 USB Hub, whereas it takes 150 minutes with a USB Hub supporting 5V/1A output.",Electronics
"TRIAL ROOM Men's Cotton Waistcoat TRIAL ROOM provides you with the latest, trendy blazers & waistcoats,to make you feel good in all wedding and party functions.",Clothing
Medical Dictionary (English-Hindi) NA,Books
"Techlife TECH009 Plastic Waist Camera Belt for All Cameras (Black) DSLR Camera Hard Plastic waist belt buckle button is suitable for Canon 5D, 7D, 550D, 1200D Nikon Cameras.",Electronics
Visko Tools 239 6-inch Wire Cutter or Stripper Since this cutter can be used to cut metal wires as well as the branches of small plants it can be used for gardening or agriculture and for small electrical work. This cutter is offered in different specifications to suit customer requirements. The sharp edges of this cutter offer it a good tolerance to pressure.,Office Supplies
"MBTC Three Seater Stainless Steel Waiting Area Visitor Chair Overview Seating arrangement plays an important role in ensuring comfort as well as correct postures. If you are willing to buy a set of chairs that keeps your posture right and lets you stay comfortable, take a look at this set of Metal Office Chairs. Finishing and Design These office chairs are made of fine quality metal in silver with a natural finish that makes them strong and sturdy. This knockdown set of chairs with rounded arm rests has seats, legs and handles made of stainless steel that will last long and will also be rust free. The seats are also perforated that add style to the chairs. High on Accommodation This set of metal office chairs can accommodate up to 3 people with ease.",Furniture
"MomToBe Women's Lycra Maternity Leggings MomToBe Women's Lycra Maternity LeggingsDescription- Stay comfortable and look stylish during your pregnancy with full panel Maternity Leggingsfrom MomToBe. The pull-on style of these leggings makes them easy to wear. They can also be easily paired with a tee, tunic, dress or other items in your wardrobe for a look that is completely put together. These soft leggings will be your go-to layering piece during your pregnancy. The specially designed belly panel with its elastic band will grow with your bump and make comfy and cute style simple. Specifications- Brand-MomToBe Fabric-Lycra Print-Solid Features-These Maternity leggings are incredibly soft for comfortable all-day wear.These Maternity Leggings are An essential layering piece in your maternity wardrobe, this ultra-soft seamless maternity Leggings stretches to provide a smooth silhouette.Technically designed to embrace your changing body; Lycra to create a high-density knit for coverage and comfort.Warm gentle machine wash, do not bleach, do not tumble dry.Size Tip- Kindly Check Size guide for your measurements before selecting a size. Your Pre-Pregnancy size is your Maternity size.",Clothing
"Bonjour Girls Multicolour Knee High Cotton 4 Pair Socks_BRO578A-02-PO4 Bonjour brings multicolour knee high girl's socks. The socks is crafted using finest cotton to please your skin with secure stable fit from toe to knee. They protect and keep your feet and leg clean and safe. Best for nursing profession, socks will draw the attention of all, while you will wear it with comfort. You can pair up these socks with shorts skirts to complement your look. These multipurpose socks are for school, office and party as it pair up well with many dresses.",Clothing
"Chef Direct Stainless Steel Roast Lasagna Pan with Folding Handles for Baking, Roasting, Grilling (35 X 24 cm, Silver) Size:Length 35cm X Width 24cm X Height 5.5cm   *This Lasagna/Roasting Pan is made from High Quality Stainless Steel, it can be used to roast a turkey, ham or vegetables, bake lasagna, cake, Potatoes or even a casserole. A must-have in every home.*Stainless Steel handles makes placing heavy roasts or lasagne into the oven and removing them safe and easy, even with oven mitts or a towel.* Designed to hold chicken, turkey, large roast and make lasagna.",Home Appliances
"The Concise Oxford Companion to English Literature (Oxford Quick Reference) Review Review from previous edition This is a scrupulously produced, smartly laid-out, academically serious and at the same time relishably browsable book. (Henry Hitchings, The Times Literary Supplement)a work of extraordinary value ... No library, no matter how small, can claim not to be able to afford at least one copy of this invaluable and almost incomparable, reference book. Another authoritative reference work of remarkable value will be welcome news to those libraries which found themselves unable to purchase the full edition. (Library Review)No guide could come more classic than The Oxford Companion to English Literature ... the literary reference source of first resort ... indispensable ... . Contemporary international writing is excellently covered ... excellent chronology (Malcolm Bradbury, The Times)Always good company (Ian Sansom, Guardian)Everybody with an interest in English literature will want to own it (David Sexton, Evening Standard)Remains irresistible (Sue Gaisford, Harpers & Queen)Continues to stand out as distinctive, authoritative, and a work of excellence (Reference Reviews)Increasing user-friendliness and a nice ""up to date"" feel (Reference Reviews)Sumptuous volume. (Ferdinand Mount, Standpoint)Detailed, clear and lively accounts. (Michael Kerrigan, The Scotsman) 				    	 					 About the Author Dinah Birch is an English professor and literary critic. She was born in 1953 and went on to study at Oxford. She is currently employed at the University of Liverpool. She has been appointed as Pro-Vice-Chancellor. She served on the jury panel for the 2012 Man Booker Prize.Katy Hooper works at the University of Liverpool Library in the capacity of Special Collections Librarian. She served as Assistant Editor for the seventh edition of The Oxford Companion to English Literature.",Books
"Techno Buzz Deal External DVD Drive USB 3.0 Portable CD DVD +/-RW Drive Slim DVD/CD ROM Rewriter Burner Writer, High Speed Data Transfer for Laptop Desktop Windows 10/8/7 (Black) Techno Buzz Deal External DVD Drive USB 3.0 Portable CD DVD +/ -RW Drive Slim DVD/CD ROM Rewriter Burner Writer, High Speed Data Transfer for Laptop Desktop Windows 10/8/7 (Black) Attention: 1. Before you using the CD-ROM drive, make sure your computer has a""Media Player"".That for some Windows 10 laptops and desktop, you will need to download and install VLC media player 2. Please hook up the device to the direct USB port on your computer. If you connect it to a USB hub or extension cords, it maybe cannot recognize the Driver or not read the CD/DVD Product Specifications: Supported formats: -ROM, DVD-video, CD-R/RW, /XA, CD-EXTRA, CD-TEXT 2. Supported types : CD-RW/ -RW Burner/Writer/Drive 3. Read Speed : CD-ROM: 24x Max; : 8x Max; (DL): 6x Max 4. Write speed :24x CD-R, 8x CD-RW, ±R: 8X Max; ±R DL: 4X Max; -R±9: 2.4X Max 5. Rewrite Speed : +RW: 4X Max; -RW: 4x Max; CD-RW: 10X Max; -RAM: 3x Max Technical Specification * Power consumption 3-5W. * Buffery Memory: 2MB * Interface: USB3.0 (2.0 Compatible) * Product Dimensions:5.77*5.65*0.63In * Certification: RoHS and CE certification * No extra drive, support plug and play, no need to install the driver program, support plug and play * Supports XP. Windows SE, ME, VISTA, WIN7, Windows 8, Windows 10 Warranty from TECHNO BUZZ DEAL : All TECHNO BUZZ DEAL Product Backed by 1 year Warranty (Physical Damages are not covered).",Electronics
Pan America Men's Cotton Formal Shirt (PA490-SO) This Pan America shirt has been exclusively designed and perfected for a modern man. Made from poly cotton and the best product in the most economic range.,Clothing
"3dRose Belgium, Brussels, Grand Place, door knocker-EU04 WSU0003 - William Sutton - Greeting Cards, 6 x 6 inches, set of 6 (gc_71564_1) Size:Set of 6 Greeting Cards   Belgium, Brussels, Grand Place, door knocker-EU04 WSU0003 - William Sutton Greeting Card is a great way to say ""thank you"" or to acknowledge any occasion. These blank cards are made of heavy-duty card stock that allows for smudge free writing. Cards are creased for easy folding and come with white envelopes. Available in sets of 6 and 12.",Office Supplies
Textbook Of Prosthodontics (Old Edition),Books
